DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0.0002083333333, 3, 3, 0.7, 0, 0, 5.309758719e+137, 3.089368032e+137, 1.882672769e+138
0.0002083333333, 4, 4, 0.9, 0, 0, 3.234369667e+138, 1.882672769e+138, 0
0.0002199074074, 0, 0, 0.1, 0, 0, 8.13613402e+142, 1, 4.541657834e+143
0.0002199074074, 1, 1, 0.3, 0, 0, 8.269702267e+143, 4.541657834e+143, 3.026636501e+144
0.0002199074074, 2, 2, 0.5, 0, 0, 5.226302776e+144, 3.026636501e+144, 1.858043001e+145
0.0002199074074, 3, 3, 0.7, 0, 0, 3.193455725e+145, 1.858043001e+145, 1.132298557e+146
0.0002199074074, 4, 4, 0.9, 0, 0, 1.945251541e+146, 1.132298557e+146, 0
0.0002314814815, 0, 0, 0.1, 0, 0, 4.893326635e+150, 1, 2.73149572e+151
0.0002314814815, 1, 1, 0.3, 0, 0, 4.973658775e+151, 2.73149572e+151, 1.820314288e+152
0.0002314814815, 2, 2, 0.5, 0, 0, 3.143262699e+152, 1.820314288e+152, 1.11748544e+153
0.0002314814815, 3, 3, 0.7, 0, 0, 1.920644611e+153, 1.11748544e+153, 6.809999285e+153
0.0002314814815, 4, 4, 0.9, 0, 0, 1.169935396e+154, 6.809999285e+153, 0
0.0002430555556, 0, 0, 0.1, 0, 0, 2.943000386e+158, 1, 1.642807349e+159
0.0002430555556, 1, 1, 0.3, 0, 0, 2.991314659e+159, 1.642807349e+159, 1.094794207e+160
0.0002430555556, 2, 2, 0.5, 0, 0, 1.890456947e+160, 1.094794207e+160, 6.72090855e+160
0.0002430555556, 3, 3, 0.7, 0, 0, 1.155136015e+161, 6.72090855e+160, 4.095747539e+161
0.0002430555556, 4, 4, 0.9, 0, 0, 7.036359062e+161, 4.095747539e+161, 0
0.0002546296296, 0, 0, 0.1, 0, 0, 1.7700129e+166, 1, 9.880359561e+166
0.0002546296296, 1, 1, 0.3, 0, 0, 1.799070622e+167, 9.880359561e+166, 6.584436341e+167
0.0002546296296, 2, 2, 0.5, 0, 0, 1.136980206e+168, 6.584436341e+167, 4.042165571e+168
0.0002546296296, 3, 3, 0.7, 0, 0, 6.947350936e+168, 4.042165571e+168, 2.463311257e+169
0.0002546296296, 4, 4, 0.9, 0, 0, 4.231887421e+169, 2.463311257e+169, 0
0.0002662037037, 0, 0, 0.1, 0, 0, 1.064541372e+174, 1, 5.942358679e+174
0.0002662037037, 1, 1, 0.3, 0, 0, 1.082017599e+175, 5.942358679e+174, 3.960086897e+175
0.0002662037037, 2, 2, 0.5, 0, 0, 6.838156195e+175, 3.960086897e+175, 2.431085378e+176
0.0002662037037, 3, 3, 0.7, 0, 0, 4.178355137e+176, 2.431085378e+176, 1.481512787e+177
0.0002662037037, 4, 4, 0.9, 0, 0, 2.54519006e+177, 1.481512787e+177, 0
0.0002777777778, 0, 0, 0.1, 0, 0, 6.402486286e+181, 1, 3.573921217e+182
0.0002777777778, 1, 1, 0.3, 0, 0, 6.507593805e+182, 3.573921217e+182, 2.381720685e+183
0.0002777777778, 2, 2, 0.5, 0, 0, 4.112681989e+183, 2.381720685e+183, 1.462131131e+184
0.0002777777778, 3, 3, 0.7, 0, 0, 2.512994063e+184, 1.462131131e+184, 8.910283388e+184
0.0002777777778, 4, 4, 0.9, 0, 0, 1.530757271e+185, 8.910283388e+184, 0
0.0002893518519, 0, 0, 0.1, 0, 0, 3.850656417e+189, 1, 2.149468512e+190
