DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0.0001273148148, 3, 3, 0.7, 0, 0, 8.655073956e+78, 1.046224042e+79, 6.657776513e+78
0.0001273148148, 4, 4, 0.9, 0, 0, 4.660479071e+78, 6.657776513e+78, 0
0.0001388900463, 0, 0, 0.1, 0, 0, 1.849798965e+79, 1, 1.701865992e+79
0.0001388900463, 1, 1, 0.3, 0, 0, 1.553933019e+79, 1.701865992e+79, 1.390437121e+79
0.0001388900463, 2, 2, 0.5, 0, 0, 1.226941223e+79, 1.390437121e+79, 1.04622456e+79
0.0001388900463, 3, 3, 0.7, 0, 0, 8.655078969e+78, 1.04622456e+79, 6.657780562e+78
0.0001388900463, 4, 4, 0.9, 0, 0, 4.660482156e+78, 6.657780562e+78, 0
0.000150462963, 0, 0, 0.1, 0, 0, 1.849799024e+79, 1, 1.701866086e+79
0.000150462963, 1, 1, 0.3, 0, 0, 1.553933148e+79, 1.701866086e+79, 1.390437254e+79
0.000150462963, 2, 2, 0.5, 0, 0, 1.22694136e+79, 1.390437254e+79, 1.046224701e+79
0.000150462963, 3, 3, 0.7, 0, 0, 8.655080426e+78, 1.046224701e+79, 6.657781691e+78
0.000150462963, 4, 4, 0.9, 0, 0, 4.660482956e+78, 6.657781691e+78, 0
0.0001620381944, 0, 0, 0.1, 0, 0, 1.849799046e+79, 1, 1.701866109e+79
0.0001620381944, 1, 1, 0.3, 0, 0, 1.553933173e+79, 1.701866109e+79, 1.390437292e+79
0.0001620381944, 2, 2, 0.5, 0, 0, 1.226941411e+79, 1.390437292e+79, 1.046224741e+79
0.0001620381944, 3, 3, 0.7, 0, 0, 8.655080714e+78, 1.046224741e+79, 6.657781978e+78
0.0001620381944, 4, 4, 0.9, 0, 0, 4.660483242e+78, 6.657781978e+78, 0
0.0001736111111, 0, 0, 0.1, 0, 0, 1.849799047e+79, 1, 1.701866118e+79
0.0001736111111, 1, 1, 0.3, 0, 0, 1.553933189e+79, 1.701866118e+79, 1.390437301e+79
0.0001736111111, 2, 2, 0.5, 0, 0, 1.226941414e+79, 1.390437301e+79, 1.046224751e+79
0.0001736111111, 3, 3, 0.7, 0, 0, 8.655080892e+78, 1.046224751e+79, 6.657782077e+78
0.0001736111111, 4, 4, 0.9, 0, 0, 4.660483262e+78, 6.657782077e+78, 0
0.0001851863426, 0, 0, 0.1, 0, 0, 1.849799053e+79, 1, 1.701866118e+79
0.0001851863426, 1, 1, 0.3, 0, 0, 1.553933183e+79, 1.701866118e+79, 1.390437305e+79
0.0001851863426, 2, 2, 0.5, 0, 0, 1.226941426e+79, 1.390437305e+79, 1.046224755e+79
0.0001851863426, 3, 3, 0.7, 0, 0, 8.655080832e+78, 1.046224755e+79, 6.657782082e+78
0.0001851863426, 4, 4, 0.9, 0, 0, 4.660483332e+78, 6.657782082e+78, 0
0.0001967592593, 0, 0, 0.1, 0, 0, 1.849799049e+79, 1, 1.70186612e+79
0.0001967592593, 1, 1, 0.3, 0, 0, 1.553933191e+79, 1.70186612e+79, 1.390437305e+79
0.0001967592593, 2, 2, 0.5, 0, 0, 1.226941419e+79, 1.390437305e+79, 1.046224755e+79
0.0001967592593, 3, 3, 0.7, 0, 0, 8.655080915e+78, 1.046224755e+79, 6.657782104e+78
0.0001967592593, 4, 4, 0.9, 0, 0, 4.660483292e+78, 6.657782104e+78, 0
0.0002083344907, 0, 0, 0.1, 0, 0, 1.849799054e+79, 1, 1.701866118e+79
0.0002083344907, 1, 1, 0.3, 0, 0, 1.553933183e+79, 1.701866118e+79, 1.390437306e+79
0.0002083344907, 2, 2, 0.5, 0, 0, 1.226941429e+79, 1.390437306e+79, 1.046224756e+79
0.0002083344907, 3, 3, 0.7, 0, 0, 8.65508083e+78, 1.046224756e+79, 6.657782087e+78
0.0002083344907, 4, 4, 0.9, 0, 0, 4.660483345e+78, 6.657782087e+78, 0
0.0002199074074, 0, 0, 0.1, 0, 0, 1.84979905e+79, 1, 1.70186612e+79
0.0002199074074, 1, 1, 0.3, 0, 0, 1.55393319e+79, 1.70186612e+79, 1.390437305e+79
0.0002199074074, 2, 2, 0.5, 0, 0, 1.22694142e+79, 1.390437305e+79, 1.046224756e+79
0.0002199074074, 3, 3, 0.7, 0, 0, 8.655080906e+78, 1.046224756e+79, 6.657782104e+78
0.0002199074074, 4, 4, 0.9, 0, 0, 4.660483301e+78, 6.657782104e+78, 0
0.0002314826389, 0, 0, 0.1, 0, 0, 1.849799055e+79, 1, 1.701866118e+79
0.0002314826389, 1, 1, 0.3, 0, 0, 1.553933182e+79, 1.701866118e+79, 1.390437306e+79
0.0002314826389, 2, 2, 0.5, 0, 0, 1.22694143e+79, 1.390437306e+79, 1.046224756e+79
0.0002314826389, 3, 3, 0.7, 0, 0, 8.65508082e+78, 1.046224756e+79, 6.657782086e+78
0.0002314826389, 4, 4, 0.9, 0, 0, 4.660483352e+78, 6.657782086e+78, 0
0.0002430555556, 0, 0, 0.1, 0, 0, 1.849799051e+79, 1, 1.70186612e+79
0.0002430555556, 1, 1, 0.3, 0, 0, 1.553933189e+79, 1.70186612e+79, 1.390437305e+79
0.0002430555556, 2, 2, 0.5, 0, 0, 1.226941422e+79, 1.390437305e+79, 1.046224756e+79
0.0002430555556, 3, 3, 0.7, 0, 0, 8.655080896e+78, 1.046224756e+79, 6.657782102e+78
0.0002430555556, 4, 4, 0.9, 0, 0, 4.660483307e+78, 6.657782102e+78, 0
0.0002546296296, 0, 0, 0.1, 0, 0, 1.84979906e+79, 1, 1.701866116e+79
0.0002546296296, 1, 1, 0.3, 0, 0, 1.553933173e+79, 1.701866116e+79, 1.390437307e+79
0.0002546296296, 2, 2, 0.5, 0, 0, 1.226941441e+79, 1.390437307e+79, 1.046224757e+79
0.0002546296296, 3, 3, 0.7, 0, 0, 8.65508072e+78, 1.046224757e+79, 6.657782066e+78
0.0002546296296, 4, 4, 0.9, 0, 0, 4.660483411e+78, 6.657782066e+78, 0
0.0002662037037, 0, 0, 0.1, 0, 0, 1.849799061e+79, 1, 1.701866116e+79
0.0002662037037, 1, 1, 0.3, 0, 0, 1.553933171e+79, 1.701866116e+79, 1.390437307e+79
0.0002662037037, 2, 2, 0.5, 0, 0, 1.226941444e+79, 1.390437307e+79, 1.046224757e+79
0.0002662037037, 3, 3, 0.7, 0, 0, 8.655080699e+78, 1.046224757e+79, 6.657782061e+78
0.0002662037037, 4, 4, 0.9, 0, 0, 4.660483423e+78, 6.657782061e+78, 0
0.0002777777778, 0, 0, 0.1, 0, 0, 1.849799061e+79, 1, 1.701866116e+79
0.0002777777778, 1, 1, 0.3, 0, 0, 1.55393317e+79, 1.701866116e+79, 1.390437307e+79
0.0002777777778, 2, 2, 0.5, 0, 0, 1.226941444e+79, 1.390437307e+79, 1.046224757e+79
0.0002777777778, 3, 3, 0.7, 0, 0, 8.655080694e+78, 1.046224757e+79, 6.65778206e+78
0.0002777777778, 4, 4, 0.9, 0, 0, 4.660483426e+78, 6.65778206e+78, 0
0.0002893518519, 0, 0, 0.1, 0, 0, 1.849799061e+79, 1, 1.701866116e+79
0.0002893518519, 1, 1, 0.3, 0, 0, 1.55393317e+79, 1.701866116e+79, 1.390437307e+79
